date,country,title,importance,impact
2023-08-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2023-08-01T04:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2023-08-01T14:00:00.000Z,USD,ISM Manufacturing PMI,1,
2023-08-01T14:00:00.000Z,USD,JOLTs Job Openings,1,
2023-08-02T07:00:00.000Z,CHF,Consumer Confidence,1,
2023-08-03T01:30:00.000Z,AUD,Balance of Trade,1,
2023-08-03T06:00:00.000Z,EUR,Balance of Trade,1,
2023-08-03T11:00:00.000Z,GBP,BoE Interest Rate Decision,1,
2023-08-03T14:00:00.000Z,USD,ISM Services PMI,1,
2023-08-04T12:30:00.000Z,USD,Unemployment Rate,1,
2023-08-04T12:30:00.000Z,USD,Non Farm Payrolls,1,
2023-08-04T12:30:00.000Z,CAD,Unemployment Rate,1,
2023-08-04T14:00:00.000Z,CAD,Ivey PMI s.a,1,
2023-08-08T00:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2023-08-08T01:30:00.000Z,AUD,NAB Business Confidence,1,
2023-08-08T03:00:00.000Z,CNY,Balance of Trade,1,
2023-08-09T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2023-08-10T12:30:00.000Z,USD,Core Inflation Rate MoM,1,
2023-08-10T12:30:00.000Z,USD,Inflation Rate MoM,1,
2023-08-10T12:30:00.000Z,USD,Core Inflation Rate YoY,1,
2023-08-10T12:30:00.000Z,USD,Inflation Rate YoY,1,
2023-08-11T06:00:00.000Z,GBP,GDP MoM,1,
2023-08-11T06:00:00.000Z,GBP,GDP Growth Rate YoY Prel,1,
2023-08-11T06:00:00.000Z,GBP,GDP Growth Rate QoQ Prel,1,
2023-08-11T12:30:00.000Z,USD,PPI MoM,1,
2023-08-11T14:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2023-08-14T23:50:00.000Z,JPY,GDP Growth Annualized Prel,1,
2023-08-14T23:50:00.000Z,JPY,GDP Growth Rate QoQ Prel,1,
2023-08-15T01:30:00.000Z,AUD,RBA Meeting Minutes,1,
2023-08-15T02:00:00.000Z,CNY,Industrial Production YoY,1,
2023-08-15T06:00:00.000Z,GBP,Unemployment Rate,1,
2023-08-15T09:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2023-08-15T12:30:00.000Z,CAD,Inflation Rate YoY,1,
2023-08-15T12:30:00.000Z,USD,Retail Sales MoM,1,
2023-08-16T06:00:00.000Z,GBP,Inflation Rate YoY,1,
2023-08-16T12:30:00.000Z,USD,Building Permits Prel,1,
2023-08-16T18:00:00.000Z,USD,FOMC Minutes,1,
2023-08-16T23:50:00.000Z,JPY,Balance of Trade,1,
2023-08-17T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2023-08-18T06:00:00.000Z,GBP,Retail Sales MoM,1,
2023-08-23T07:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2023-08-24T12:30:00.000Z,USD,Durable Goods Orders MoM,1,
2023-08-25T08:00:00.000Z,EUR,Ifo Business Climate,1,
2023-08-25T14:05:00.000Z,USD,Fed Chair Powell Speech,1,
2023-08-25T19:00:00.000Z,EUR,ECB President Lagarde Speech,1,
2023-08-29T06:00:00.000Z,EUR,GfK Consumer Confidence,1,
2023-08-29T14:00:00.000Z,USD,JOLTs Job Openings,1,
2023-08-30T12:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-08-30T12:30:00.000Z,USD,GDP Growth Rate QoQ 2nd Est,1,
2023-08-31T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2023-08-31T06:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-08-31T09:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-08-31T09:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2023-08-31T12:00:00.000Z,INR,GDP Growth Rate YoY,1,
2023-08-31T12:30:00.000Z,USD,Core PCE Price Index MoM,1,
2023-08-31T12:30:00.000Z,USD,Personal Income MoM,1,
2023-08-31T12:30:00.000Z,USD,Personal Spending MoM,1,
2023-09-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2023-09-01T12:30:00.000Z,USD,Non Farm Payrolls,1,
2023-09-01T12:30:00.000Z,USD,Unemployment Rate,1,
2023-09-01T12:30:00.000Z,CAD,GDP Growth Rate QoQ,1,
2023-09-01T14:00:00.000Z,USD,ISM Manufacturing PMI,1,
2023-09-04T06:00:00.000Z,EUR,Balance of Trade,1,
2023-09-05T04:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2023-09-06T01:30:00.000Z,AUD,GDP Growth Rate QoQ,1,
2023-09-06T14:00:00.000Z,USD,ISM Services PMI,1,
2023-09-07T01:30:00.000Z,AUD,Balance of Trade,1,
2023-09-07T03:00:00.000Z,CNY,Balance of Trade,1,
2023-09-07T14:00:00.000Z,CAD,Ivey PMI s.a,1,
2023-09-08T12:30:00.000Z,CAD,Unemployment Rate,1,
2023-09-09T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2023-09-12T00:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2023-09-12T01:30:00.000Z,AUD,NAB Business Confidence,1,
2023-09-12T06:00:00.000Z,GBP,Unemployment Rate,1,
2023-09-12T09:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2023-09-13T06:00:00.000Z,GBP,GDP MoM,1,
2023-09-13T12:30:00.000Z,USD,Core Inflation Rate MoM,1,
2023-09-13T12:30:00.000Z,USD,Inflation Rate MoM,1,
2023-09-13T12:30:00.000Z,USD,Inflation Rate YoY,1,
2023-09-13T12:30:00.000Z,USD,Core Inflation Rate YoY,1,
2023-09-14T12:15:00.000Z,EUR,ECB Interest Rate Decision,1,
2023-09-14T12:30:00.000Z,USD,PPI MoM,1,
2023-09-14T12:30:00.000Z,USD,Retail Sales MoM,1,
2023-09-14T12:45:00.000Z,EUR,ECB Press Conference,1,
2023-09-15T02:00:00.000Z,CNY,Retail Sales YoY,1,
2023-09-15T02:00:00.000Z,CNY,Industrial Production YoY,1,
2023-09-15T14:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2023-09-19T01:30:00.000Z,AUD,RBA Meeting Minutes,1,
2023-09-19T12:30:00.000Z,USD,Building Permits Prel,1,
2023-09-19T12:30:00.000Z,CAD,Inflation Rate YoY,1,
2023-09-19T23:50:00.000Z,JPY,Balance of Trade,1,
2023-09-20T06:00:00.000Z,GBP,Inflation Rate YoY,1,
2023-09-20T18:00:00.000Z,USD,Fed Interest Rate Decision,1,
2023-09-20T18:30:00.000Z,USD,Fed Press Conference,1,
2023-09-21T11:00:00.000Z,GBP,BoE Interest Rate Decision,1,
